timestamp,distance_cm,altitude_angle_deg,azimuth_angle_deg,scan_repeat
1760412831.6969426,13.25,137,11,0
1760412831.7387137,13.0,136,11,0
1760412831.7808845,13.0,135,11,0
1760412831.8235095,13.0,134,11,0
1760412831.8656318,13.0,133,11,0
1760412831.9077404,13.0,132,11,0
1760412831.9499607,13.0,131,11,0
1760412831.991962,13.0,130,11,0
1760412832.0335348,13.0,129,11,0
1760412832.0751204,13.0,128,11,0
1760412832.1163983,13.0,127,11,0
1760412832.15789,13.0,126,11,0
1760412832.1997898,13.0,125,11,0
1760412832.2417386,13.0,124,11,0
1760412832.2842274,13.0,123,11,0
1760412832.3263042,13.0,122,11,0
1760412832.367991,13.0,121,11,0
1760412832.4100146,13.75,120,11,0
1760412832.4519362,14.0,119,11,0
1760412832.493639,14.0,118,11,0
1760412832.5351772,15.0,117,11,0
1760412832.5764277,15.0,116,11,0
1760412832.6179342,15.0,115,11,0
1760412832.6594975,15.0,114,11,0
1760412832.7004805,15.0,113,11,0
1760412832.7415388,15.0,112,11,0
1760412832.7825878,15.0,111,11,0
1760412832.8237128,15.0,110,11,0
1760412832.8648336,15.0,109,11,0
1760412832.907074,15.0,108,11,0
1760412832.9489653,15.0,107,11,0
1760412832.9911475,14.75,106,11,0
1760412833.0332358,14.75,105,11,0
1760412833.0750995,14.25,104,11,0
1760412833.1166792,14.0,103,11,0
1760412833.1579318,13.75,102,11,0
1760412833.199549,13.0,101,11,0
1760412833.2409365,13.0,100,11,0
1760412833.2820387,13.0,99,11,0
1760412833.3234847,13.0,98,11,0
1760412833.3647165,12.75,97,11,0
1760412833.4059885,12.0,96,11,0
1760412833.4470785,12.0,95,11,0
1760412833.488769,12.0,94,11,0
1760412833.5308697,11.0,93,11,0
1760412833.5729785,11.0,92,11,0
1760412833.6152134,11.0,91,11,0
1760412833.6572616,10.5,90,12,0
1760412833.6991916,10.5,91,12,0
1760412833.740654,10.0,92,12,0
1760412833.7824912,10.0,93,12,0
1760412833.824299,10.25,94,12,0
1760412833.8658414,11.0,95,12,0
1760412833.9071178,11.0,96,12,0
1760412833.9483125,11.0,97,12,0
1760412833.990168,11.75,98,12,0
1760412834.0325382,12.0,99,12,0
1760412834.0750914,12.75,100,12,0
1760412834.1178708,13.0,101,12,0
1760412834.159554,13.0,102,12,0
1760412834.2015011,13.0,103,12,0
1760412834.2435858,13.5,104,12,0
1760412834.2859116,13.75,105,12,0
1760412834.3285952,14.0,106,12,0
